condition,condition_group,ROI,spike_time_s,amplitude
20s3,20s,ROI.09 [],144.277,0.2683521562614434
20s3,20s,ROI.10 [],44.787,0.0701714142879241
20s3,20s,ROI.10 [],144.277,0.3123716744352707
20s3,20s,ROI.11 [],143.777,0.2707472004395154
20s3,20s,ROI.12 [],144.788,0.2331957586193875
20s3,20s,ROI.13 [],144.788,0.2566294657070041
20s3,20s,ROI.14 [],144.788,0.2144639980517949
20s3,20s,ROI.16 [],144.788,0.3810706259171327
20s3,20s,ROI.17 [],144.788,0.263756228995913
20s3,20s,ROI.17 [],167.777,0.0486418414469964
20s3,20s,ROI.18 [],145.279,0.3348362832133186
20s3,20s,ROI.18 [],167.277,0.0578179980854126
20s3,20s,ROI.19 [],52.784,0.0955427755980458
20s3,20s,ROI.19 [],145.777,0.2609855924584109
20s3,20s,ROI.19 [],170.288,0.0464376639204785
20s3,20s,ROI.20 [],145.279,0.19838727181149
20s3,20s,ROI.21 [],143.777,0.1901158384677045
20s3,20s,ROI.22 [],41.276,0.3433213247332842
20s3,20s,ROI.22 [],64.776,0.2969823615498039
20s4,20s,ROI.09 [],41.277,0.2096104826983754
20s4,20s,ROI.09 [],112.785,0.1557177671303312
20s4,20s,ROI.10 [],40.777,0.2803017500612584
20s4,20s,ROI.10 [],113.276,0.1657283055380787
20s4,20s,ROI.11 [],40.297,0.2291885147964594
20s4,20s,ROI.12 [],41.788,0.1875428757483094
20s4,20s,ROI.12 [],112.278,0.1594394279980198
20s4,20s,ROI.13 [],40.297,0.2184565400997411
20s4,20s,ROI.13 [],111.777,0.1523665664738344
20s4,20s,ROI.14 [],42.277,0.1821726819866333
20s4,20s,ROI.14 [],111.777,0.1265827470847844
20s4,20s,ROI.16 [],42.79,0.263758313552655
20s4,20s,ROI.16 [],113.276,0.1620113554356477
20s4,20s,ROI.17 [],42.79,0.2238407244839379
20s4,20s,ROI.17 [],114.28,0.1287746929117306
20s4,20s,ROI.18 [],42.277,0.2763956783614206
20s4,20s,ROI.18 [],113.778,0.1570101027679286
20s4,20s,ROI.19 [],41.788,0.2171904145992516
20s4,20s,ROI.19 [],115.288,0.1442781591991413
20s4,20s,ROI.19 [],152.278,0.084709981118656
20s4,20s,ROI.20 [],42.79,0.2077509819581968
20s4,20s,ROI.20 [],111.777,0.1185456080355809
20s4,20s,ROI.21 [],41.277,0.1687292571717767
20s6,20s,ROI.09 [],118.79,0.2263766079496285
20s6,20s,ROI.10 [],119.788,0.2382553906394667
20s6,20s,ROI.11 [],118.276,0.215868744385955
20s6,20s,ROI.12 [],119.788,0.2232167868893028
20s6,20s,ROI.13 [],120.277,0.2707688495988247
20s6,20s,ROI.14 [],119.277,0.2304879693935671
20s6,20s,ROI.16 [],119.788,0.3341352261449462
20s6,20s,ROI.17 [],119.277,0.2670999092609846
20s6,20s,ROI.18 [],119.277,0.2765106470530469
20s6,20s,ROI.19 [],119.277,0.2275691979924602
20s6,20s,ROI.20 [],119.277,0.2668070647211421
20s6,20s,ROI.21 [],119.788,0.209306811852668
20s6,20s,ROI.23 [],133.778,0.0388261791333712
20s7,20s,ROI.22 [],102.777,0.1705192739291887
20s7,20s,ROI.22 [],142.777,0.1778370004037753
20s7,20s,ROI.22 [],165.777,0.1424384055969417
20s8,20s,ROI.12 [],77.277,0.0812878040923429
20s8,20s,ROI.14 [],76.277,0.0806488668406048
20s8,20s,ROI.22 [],48.278,0.1651280857756053
2hz1,2hz,ROI.09 [],155.278,0.2005647148466681
2hz1,2hz,ROI.10 [],156.276,0.1869709113319951
2hz1,2hz,ROI.11 [],156.788,0.1572055434083893
2hz1,2hz,ROI.12 [],160.788,0.1464830115817559
2hz1,2hz,ROI.13 [],157.778,0.1657984951453884
2hz1,2hz,ROI.14 [],161.777,0.1196040849617328
2hz1,2hz,ROI.16 [],157.277,0.0812652238877768
2hz1,2hz,ROI.19 [],159.279,0.242942086341089
2hz1,2hz,ROI.21 [],160.283,0.1630108885409843
2hz1,2hz,ROI.22 [],39.777,0.0672046938277682
2hz1,2hz,ROI.22 [],58.278,0.1247305254046943
2hz1,2hz,ROI.22 [],82.277,0.1127506715774916
2hz1,2hz,ROI.22 [],89.279,0.1182862472151777
2hz1,2hz,ROI.22 [],106.777,0.126617892125379
2hz1,2hz,ROI.22 [],134.777,0.1436527196486196
2hz1,2hz,ROI.22 [],144.784,0.1635777600612992
2hz1,2hz,ROI.22 [],161.777,0.1134683480520554
2hz1,2hz,ROI.22 [],166.779,0.1062919201444821
2hz1,2hz,ROI.22 [],184.778,0.132517599571314
2hz1,2hz,ROI.31 [],71.278,0.5950904611708191
2hz1,2hz,ROI.31 [],113.277,0.5259894047287633
2hz2,2hz,ROI.22 [],185.779,0.1907316615407659
2hz2,2hz,ROI.27 [],129.788,0.0104310498447778
2hz2,2hz,ROI.27 [],138.279,0.0087970323600266
2hz2,2hz,ROI.27 [],176.785,0.0069119955410819
2hz5,2hz,ROI.22 [],78.278,0.2996606163766699
2hz5,2hz,ROI.22 [],110.295,0.2728830283352343
2hz6,2hz,ROI.16 [],46.277,0.0431657746670788
2hz6,2hz,ROI.20 [],37.778,0.0408805703415602
2hz6,2hz,ROI.20 [],46.277,0.0625466799669359
2hz6,2hz,ROI.20 [],65.777,0.0520593833965328
2hz6,2hz,ROI.20 [],75.278,0.0450712635754246
2hz6,2hz,ROI.20 [],84.777,0.0572719245521596
2hz6,2hz,ROI.20 [],91.276,0.042957502314569
2hz6,2hz,ROI.20 [],108.777,0.0790746471884054
2hz6,2hz,ROI.20 [],139.777,0.0463880295890934
2hz6,2hz,ROI.20 [],159.288,0.0572124733584675
2hz6,2hz,ROI.20 [],173.777,0.0445139771624585
2hz6,2hz,ROI.20 [],180.277,0.0553068584468951
2hz6,2hz,ROI.31 [],187.777,0.2534955719622008
2mw2,2mw,ROI.01 [],104.789,0.0602529630166394
2mw2,2mw,ROI.03 [],105.777,0.0415441204805515
2mw2,2mw,ROI.05 [],105.277,0.0281244735328396
2mw2,2mw,ROI.06 [],105.277,0.0520803022154406
2mw2,2mw,ROI.22 [],176.787,0.1775386498923274
5hz1,5hz,ROI.27 [],107.276,0.0113452707447881
5hz1,5hz,ROI.31 [],87.776,0.5891730675126562
5hz1,5hz,ROI.31 [],93.278,0.3543556775748232
5hz2,5hz,ROI.09 [],144.295,0.2619394375610227
5hz2,5hz,ROI.09 [],154.278,0.3037666217925491
5hz2,5hz,ROI.10 [],144.778,0.3062542723549798
5hz2,5hz,ROI.10 [],154.278,0.3987822428268432
5hz2,5hz,ROI.11 [],142.777,0.2982650698716774
5hz2,5hz,ROI.11 [],154.278,0.3720776152536303
5hz2,5hz,ROI.12 [],144.295,0.2516908184559143
5hz2,5hz,ROI.12 [],154.278,0.3418511190178534
5hz2,5hz,ROI.13 [],142.777,0.3022368510213704
5hz2,5hz,ROI.13 [],155.778,0.3473531910971295
5hz2,5hz,ROI.14 [],142.777,0.2287650443073111
5hz2,5hz,ROI.14 [],154.778,0.304648538395072
5hz2,5hz,ROI.16 [],144.778,0.1469000255511653
5hz2,5hz,ROI.16 [],154.778,0.2014845589033505
5hz2,5hz,ROI.17 [],143.778,0.1724189020830717
5hz2,5hz,ROI.17 [],153.278,0.1928738513843392
5hz2,5hz,ROI.18 [],142.777,0.2168309108519038
5hz2,5hz,ROI.18 [],154.278,0.2910500099525862
5hz2,5hz,ROI.19 [],144.295,0.1752068866799395
5hz2,5hz,ROI.19 [],153.278,0.2253829487673183
5hz2,5hz,ROI.20 [],147.778,0.1672105843249927
5hz2,5hz,ROI.20 [],153.278,0.1805290593974077
5hz2,5hz,ROI.21 [],144.778,0.2722593382888058
5hz2,5hz,ROI.21 [],154.278,0.3337442213200044
5hz3,5hz,ROI.01 [],59.778,0.0706141032353517
5hz3,5hz,ROI.01 [],132.278,0.0349236207679668
5hz3,5hz,ROI.10 [],119.278,0.1852315001938127
5hz3,5hz,ROI.11 [],119.278,0.1625809008693421
5hz3,5hz,ROI.18 [],99.778,0.0931577542190415
5hz3,5hz,ROI.18 [],119.278,0.1352108214660332
5hz3,5hz,ROI.21 [],98.779,0.1211423720882824
5hz3,5hz,ROI.22 [],58.291,0.2656381447366228
5s1,5s,ROI.22 [],45.778,0.263208577822857
5s1,5s,ROI.22 [],65.288,0.2847127188272914
5s1,5s,ROI.22 [],147.78,0.3557725769970237
5s2,5s,ROI.22 [],32.787,0.2733062967727456
5s2,5s,ROI.22 [],39.282,0.2505872569974391
5s2,5s,ROI.22 [],76.282,0.2738631983148984
5s2,5s,ROI.22 [],103.278,0.2863021758288153
5s3,5s,ROI.10 [],137.777,0.086580520417587
5s3,5s,ROI.14 [],33.277,0.0607466870454928
5s3,5s,ROI.14 [],38.287,0.059134865200563
5s3,5s,ROI.14 [],83.788,0.0587541946097103
5s3,5s,ROI.14 [],102.788,0.0700847855710354
5s3,5s,ROI.14 [],109.777,0.0793109915827926
5s3,5s,ROI.14 [],114.785,0.0473407159702016
5s3,5s,ROI.14 [],125.278,0.060592597172317
5s3,5s,ROI.14 [],135.792,0.0863512822955299
5s3,5s,ROI.14 [],153.781,0.0533491015064336
5s4,5s,ROI.10 [],79.778,0.1261012075387852
5s4,5s,ROI.13 [],75.777,0.1151577076114618
5s4,5s,ROI.18 [],81.777,0.0896364792959439
5s4,5s,ROI.18 [],98.278,0.0732741051507148
5s4,5s,ROI.21 [],38.787,0.0596428343721909
5s4,5s,ROI.21 [],81.777,0.1032390528364052
5s4,5s,ROI.21 [],100.277,0.0995364627308747
Ctrl1,Ctrl,ROI.06 [],181.778,0.0296916267931862
Ctrl1,Ctrl,ROI.21 [],83.277,0.0327884187062216
Ctrl1,Ctrl,ROI.21 [],174.789,0.022477203996038
Ctrl1,Ctrl,ROI.23 [],189.277,0.0385555363604302
Ctrl2,Far Light Control,ROI.04 [],65.777,0.0381824439012574
Ctrl2,Far Light Control,ROI.04 [],85.277,0.0337430265848257
Ctrl2,Far Light Control,ROI.06 [],85.277,0.0291810762223642
Ctrl2,Far Light Control,ROI.22 [],111.288,0.3736445012485707
Ctrl2,Far Light Control,ROI.30 [],125.778,0.0081171942614803
Ctrl2,Far Light Control,ROI.30 [],179.777,0.0132219198039073
